CreditScoreScaled,Germany,Spain,GenderCoded,AgeScaled,Tenure,BalanceScaled,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalaryScaled,Exited
0.464,1,0,1,0.3108108108108108,6,0.28039065582364536,2,0,1,0.8903973329452963,0
0.244,0,1,1,0.2972972972972973,4,0.0,1,1,0,0.3507466963094975,0
0.23,0,0,0,0.44594594594594594,8,0.4883350048619342,1,0,0,0.9065169223660859,1
0.412,0,0,0,0.581081081081081,2,0.4679961892097306,1,1,1,0.47075620721778927,0
0.968,0,0,0,0.4189189189189189,2,0.5236969320890406,1,0,0,0.9718637129845901,1
0.62,0,1,0,0.581081081081081,5,0.6214918176539327,1,1,1,0.7917096582723651,0
0.852,1,0,0,0.1891891891891892,4,0.43611782776026714,2,1,1,0.6325898123270772,0
0.958,1,0,0,0.12162162162162163,9,0.44657840958454487,1,1,1,0.5985403105996622,1
0.574,1,0,0,0.28378378378378377,9,0.5494015518412276,1,1,1,0.5881122647212809,1
0.4,1,0,1,0.2702702702702703,2,0.41208516174834176,1,0,1,0.45437614292164896,0
0.852,1,0,0,0.25675675675675674,2,0.41359111183349384,2,1,0,0.9705303856518297,0
0.696,1,0,1,0.35135135135135137,10,0.4637873887361996,2,1,0,0.9903324767515297,0
0.47,1,0,1,0.24324324324324326,5,0.5821127215436355,2,0,0,0.4321062161436417,0
0.876,0,0,0,0.20270270270270271,5,0.0,2,0,0,0.584888906890608,0
0.61,1,0,1,0.3108108108108108,8,0.5004500831393336,1,0,0,0.8202251315000583,1
0.502,1,0,1,0.32432432432432434,1,0.39257261783061004,1,1,0,0.2000350033428192,1
0.538,0,0,1,0.33783783783783783,1,0.4990548951568344,1,1,1,0.5670487031511509,0
0.612,0,0,1,0.36486486486486486,5,0.5096268369360644,1,1,0,0.43552154230729034,0
0.75,1,0,1,0.013513513513513514,0,0.3024662324053563,1,0,0,0.22803262711588954,0
0.322,0,1,0,0.6486486486486487,4,0.0,1,1,0,0.008158429129981912,1
0.528,0,0,1,0.44594594594594594,4,0.16216113881137956,1,1,1,0.2338408317994368,0
0.784,1,0,1,0.22972972972972974,5,0.5454684808481404,1,0,0,0.42253030164380695,0
0.674,1,0,0,0.12162162162162163,9,0.607134474399546,2,0,0,0.6324766015154447,0
0.41,0,1,1,0.20270270270270271,1,0.22353573915209957,2,0,0,0.8940181287312938,0
0.668,0,1,1,0.5135135135135135,8,0.31370171052318496,1,1,1,0.4969813617200442,0
0.506,1,0,1,0.10810810810810811,4,0.4351024354151122,1,1,1,0.46418978012400175,0
0.802,1,0,0,0.24324324324324326,6,0.6768941923790651,2,1,1,0.13874715035285867,0
0.462,1,0,0,0.21621621621621623,1,0.40507697766850276,1,1,0,0.5521523805523426,0
0.77,1,0,1,0.33783783783783783,10,0.49095634805350646,2,1,1,0.9834024149306259,0
0.622,1,0,0,0.22972972972972974,5,0.6007440311721783,2,0,1,0.5682806207992863,0
0.65,0,0,0,0.04054054054054054,8,0.39208453121345005,1,1,0,0.0909657872326807,0
0.776,1,0,1,0.5405405405405406,2,0.5330667921784499,4,1,0,0.14182494428217893,1
0.926,0,0,1,0.14864864864864866,6,0.0,1,1,0,0.16972765899143366,0
0.614,0,1,0,0.25675675675675674,0,0.6520861916485693,1,0,1,0.22098095368107654,0
0.508,1,0,0,0.0945945945945946,5,0.6288642532113338,2,1,1,0.2921040459363869,0
0.338,0,0,1,0.24324324324324326,9,0.0,2,0,1,0.7278236071544832,0
0.77,0,0,0,0.04054054054054054,1,0.7123138721382853,2,1,0,0.11189278576104016,0
0.628,0,0,1,0.5,8,0.0,2,1,1,0.6958167504996727,0
0.656,0,0,0,0.1891891891891892,9,0.0,1,1,1,0.7410660718098578,0
0.814,0,1,1,0.20270270270270271,5,0.30790676804275396,1,0,1,0.9712330027517627,0
0.132,1,0,0,0.3108108108108108,10,0.4870091278893355,2,1,0,0.4914970879719013,0
0.63,0,0,0,0.21621621621621623,1,0.38519838871631107,2,0,0,0.8570922523100956,0
0.854,0,0,0,0.1891891891891892,2,0.0,1,1,0,0.6822982094790052,1
0.386,0,0,0,0.24324324324324326,3,0.0,2,0,0,0.13005247001088602,0
0.312,0,0,0,0.21621621621621623,4,0.35993745508385494,1,1,1,0.7961945865830187,0
0.286,0,0,0,0.3783783783783784,4,0.0,2,1,0,0.009481305464671876,0
0.604,0,1,0,0.7702702702702703,10,0.0,2,1,1,0.5733756073705039,0
0.8,0,1,1,0.05405405405405406,3,0.4849850391447779,1,1,0,0.6432202775365047,1
0.758,0,0,1,0.16216216216216217,9,0.0,2,1,0,0.7593613690107406,0
0.592,0,0,0,0.3783783783783784,4,0.0,3,1,0,0.46624372627585925,1
0.57,1,0,0,0.13513513513513514,3,0.32532599191966743,2,1,1,0.7839737694949866,0
0.594,0,1,0,0.35135135135135137,5,0.0,3,1,1,0.8710513854073063,1
0.916,0,0,1,0.36486486486486486,7,0.4728077045146099,2,1,0,0.7356746569297368,0
0.348,0,0,0,0.24324324324324326,10,0.0,2,1,0,0.5480672904262357,0
0.838,0,0,1,0.14864864864864866,8,0.0,2,1,1,0.8614774210937144,0
0.76,0,1,1,0.32432432432432434,4,0.0,2,0,1,0.42989550502072943,0
0.33,0,1,1,0.22972972972972974,10,0.7025719087777831,1,0,1,0.6063889101409183,0
0.846,0,1,1,0.3108108108108108,9,0.4098374762438407,1,0,1,0.32294919164780234,0
0.928,1,0,1,0.14864864864864866,8,0.38695551648081494,2,1,1,0.9864169528189942,0
0.72,0,1,1,0.05405405405405406,8,0.0,2,0,0,0.49821487952099414,0
0.126,0,0,1,0.21621621621621623,9,0.0,2,0,0,0.03261611483896712,0
0.63,0,0,0,0.2972972972972973,6,0.0,1,1,1,0.8092595342855242,0
0.546,0,0,0,0.35135135135135137,6,0.0,2,0,0,0.8358340721538906,0
0.776,0,0,1,0.17567567567567569,9,0.3295128711422235,1,1,0,0.20981573740292195,0
0.356,0,1,1,0.24324324324324326,7,0.0,2,1,0,0.3026538034382283,0
0.64,0,1,0,0.6351351351351351,1,0.0,1,1,1,0.8883053331593166,1
0.544,0,1,0,0.3783783783783784,4,0.4267600044304841,2,1,1,0.15487984102481783,1
0.464,1,0,1,0.1891891891891892,1,0.3544810564321155,1,1,1,0.050219545966639814,0
0.87,1,0,0,0.24324324324324326,2,0.39779836506527416,1,0,1,0.1848423524446584,0
0.51,0,1,1,0.20270270270270271,5,0.5982221706032118,1,0,0,0.3592903622295928,0
0.258,1,0,1,0.22972972972972974,9,0.3700063639384421,1,1,0,0.4972388863136429,1
0.67,1,0,1,0.16216216216216217,3,0.36085093354038683,1,0,1,0.31538661942215473,0
0.376,1,0,1,0.28378378378378377,7,0.43067326658405414,2,1,0,0.13611139863856994,0
0.424,0,0,1,0.32432432432432434,2,0.39951818684630086,1,0,0,0.4339705941917453,0
0.65,0,1,1,0.24324324324324326,9,0.42324176321948087,1,0,1,0.11492467530649175,0
0.742,1,0,1,0.13513513513513514,9,0.6156903785118493,2,0,1,0.5064951702887626,1
0.556,1,0,0,0.16216216216216217,9,0.5275101536245255,2,1,1,0.3708231636121249,0
0.636,1,0,0,0.25675675675675674,6,0.6690541167531406,1,1,0,0.578188767027251,0
0.312,0,0,0,0.3108108108108108,1,0.0,2,1,0,0.1587887643269932,0
0.348,1,0,0,0.17567567567567569,8,0.42973077236259555,1,1,0,0.9986644224523442,1
0.698,1,0,1,0.21621621621621623,4,0.7380439205416032,2,1,0,0.6041721984449514,0
0.956,0,0,1,0.21621621621621623,8,0.5158801328459695,2,0,0,0.1906191541292193,0
0.648,0,1,1,0.28378378378378377,6,0.47905275006278447,1,0,0,0.5006446615651794,0
0.612,0,0,0,0.28378378378378377,6,0.0,2,1,0,0.7053588617712991,0
0.668,1,0,0,0.40540540540540543,10,0.5037281072964724,1,1,1,0.9906835102752312,0
0.55,0,0,0,0.13513513513513514,3,0.0,1,0,0,0.9182618440061026,0
0.164,0,0,1,0.32432432432432434,9,0.6082288231050305,1,1,0,0.5513209511508349,1
0.398,0,0,0,0.4594594594594595,1,0.0,1,0,1,0.04312646857774917,1
0.55,1,0,1,0.5135135135135135,0,0.5919026326585427,1,1,0,0.23408485510366236,1
0.956,0,0,0,0.3108108108108108,7,0.0,2,1,0,0.8569177856485294,0
0.84,0,0,1,0.08108108108108109,9,0.4058503195460755,1,1,0,0.836303717004974,0
0.816,0,0,0,0.21621621621621623,3,0.0,2,1,1,0.6211322181268311,0
0.89,1,0,0,0.20270270270270271,9,0.5215760311288141,1,1,1,0.5746730312744867,0
0.674,0,0,1,0.2702702702702703,9,0.48852850972281214,1,1,1,0.17800349933418638,0
0.672,0,0,1,0.0945945945945946,1,0.0,2,0,1,0.0822468045698364,0
0.878,1,0,1,0.28378378378378377,7,0.49752654553886805,2,1,1,0.6220569064345645,0
0.478,1,0,0,0.43243243243243246,5,0.5775055920114815,2,1,1,0.17466493050086282,0
0.222,1,0,0,0.21621621621621623,5,0.253744179559119,1,0,1,0.8389436191156255,0
0.574,0,0,1,0.2972972972972973,2,0.531941474723861,1,0,1,0.46581328516873355,0
0.468,0,1,0,0.40540540540540543,2,0.8495329717336629,1,1,0,0.37578423739467115,1
0.458,0,1,0,0.22972972972972974,1,0.5161073964333487,2,0,1,0.04290034698313688,1
0.812,1,0,1,0.35135135135135137,10,0.547840320346799,1,1,0,0.9477521103265361,0
0.626,0,0,1,0.21621621621621623,7,0.0,2,1,1,0.9021644567056153,0
0.664,0,0,0,0.33783783783783783,5,0.5016057714907276,1,1,1,0.9666260627889962,0
0.886,0,1,1,0.4594594594594595,2,0.0,1,1,0,0.7956371833510101,1
0.682,0,0,0,0.17567567567567569,5,0.16307637096798944,1,1,0,0.6310715673346804,1
0.27,0,1,0,0.04054054054054054,5,0.45100869440656166,1,1,1,0.2706754495054277,0
0.57,0,1,0,0.14864864864864866,8,0.5512076237806354,2,1,0,0.705387014459881,0
0.6,0,0,1,0.25675675675675674,5,0.42633716342758926,1,0,0,0.12242894196395752,0
0.77,0,0,1,0.35135135135135137,9,0.48099859986977184,1,1,0,0.3741595322353284,0
0.132,0,0,1,0.1891891891891892,0,0.0,2,0,1,0.004336864170528284,0
0.808,0,1,0,0.1891891891891892,7,0.0,2,1,0,0.4475885947107948,0
0.37,0,0,0,0.40540540540540543,9,0.0,1,1,0,0.7494776251131984,1
0.732,0,1,1,0.32432432432432434,8,0.0,2,1,0,0.9040305349160845,0
0.378,0,0,1,0.25675675675675674,2,0.5086112453068096,1,1,0,0.49322030253889243,0
0.528,0,0,0,0.33783783783783783,6,0.0,2,1,1,0.5452018167735018,0
0.712,0,1,1,0.527027027027027,7,0.0,1,1,0,0.08965646219213932,1
0.816,0,0,0,0.20270270270270271,7,0.0,2,0,0,0.4149640790695511,0
0.472,0,1,0,0.13513513513513514,2,0.0,2,1,1,0.46032281082843407,0
0.592,0,0,0,0.7432432432432432,6,0.3876444416137245,1,0,1,0.5235904028834754,0
0.562,1,0,0,0.20270270270270271,4,0.4912221531857815,1,0,0,0.5634337579238817,0
0.734,0,1,0,0.05405405405405406,6,0.4027940188783422,1,0,1,0.42348034237269655,0
0.668,0,0,1,0.16216216216216217,2,0.0,2,1,0,0.41735105702594594,0
0.9,0,0,0,0.4189189189189189,7,0.43048299012559244,1,0,0,0.23559014885921603,0
0.742,0,1,0,0.24324324324324326,2,0.0,2,1,1,0.5348821812483091,0
0.666,0,1,1,0.14864864864864866,0,0.5328972014095444,1,1,0,0.27788133766774725,1
0.62,1,0,1,0.17567567567567569,9,0.4989665325869958,2,1,1,0.6993810408894049,0
0.708,1,0,0,0.08108108108108109,7,0.45051845552112413,1,1,0,0.8125370972927914,1
0.53,0,1,0,0.3108108108108108,9,0.4344920680743325,1,1,0,0.9825357321624214,0
0.634,0,1,0,0.28378378378378377,2,0.0,2,1,0,0.20356774071923864,1
0.664,1,0,1,0.08108108108108109,9,0.23088980071550166,2,0,0,0.26563896852149377,0
0.268,0,0,0,0.14864864864864866,4,0.518594581568955,1,1,0,0.8201098704926321,0
0.556,1,0,1,0.12162162162162163,5,0.38193391587795666,2,1,0,0.7800013901327576,0
0.26,1,0,1,0.35135135135135137,10,0.5165785439020282,1,1,0,0.02730820793385768,1
0.456,0,0,1,0.16216216216216217,4,0.6754220010204143,1,1,0,0.5609312189314078,0
0.324,0,0,1,0.2972972972972973,5,0.0,2,1,1,0.7323011847631448,0
0.268,0,1,0,0.22972972972972974,7,0.5335561143570283,1,1,1,0.13638562482717095,0
0.32,0,0,0,0.16216216216216217,0,0.0,2,1,1,0.6527717897059169,0
0.512,1,0,1,0.24324324324324326,5,0.7591906339342799,2,0,0,0.8967871931769484,0
0.494,0,1,0,0.2972972972972973,8,0.40651214204141606,1,0,1,0.4738579534345529,0
0.808,1,0,0,0.5,3,0.6441213243193681,1,1,0,0.04035020344442894,1
1.0,0,1,0,0.36486486486486486,2,0.4874935875358796,1,1,1,0.09736389825228307,0
0.32,0,0,1,0.6351351351351351,2,0.0,2,1,1,0.24032310085613173,0
0.856,1,0,0,0.36486486486486486,1,0.6462800095449113,2,1,0,0.872681791111051,0
0.572,0,0,1,0.32432432432432434,2,0.0,2,1,1,0.2773224842972503,0
0.908,0,0,0,0.43243243243243246,4,0.0,1,1,1,0.04268052599023207,1
0.328,0,0,1,0.1891891891891892,8,0.0,2,1,0,0.4792737706450965,0
0.76,0,0,0,0.28378378378378377,1,0.3946250447741551,1,1,0,0.974764189980143,0
0.35,0,1,0,0.25675675675675674,0,0.0,1,0,1,0.6576135020894496,0
0.532,0,1,1,0.16216216216216217,5,0.0,2,0,1,0.9805782952271942,0
0.674,1,0,0,0.21621621621621623,7,0.4439578635293716,2,1,0,0.7428368409183077,0
0.73,0,0,0,0.3108108108108108,8,0.22405451552062433,2,0,0,0.46489954790682503,1
0.324,0,0,0,0.24324324324324326,3,0.3361036746035014,2,1,0,0.08832733526051736,0
0.258,0,0,1,0.2972972972972973,1,0.0,2,0,0,0.5749791605098286,0
0.502,0,0,1,0.1891891891891892,8,0.3707198010156235,1,1,0,0.4347707206038176,0
0.46,0,1,1,0.14864864864864866,9,0.2459581896378725,2,1,0,0.6403922574605874,0
0.914,0,0,1,0.22972972972972974,3,0.6966579538329686,1,1,1,0.002944181169301668,0
0.532,0,1,0,0.1891891891891892,6,0.0,2,1,1,0.21496992962827946,0
0.742,1,0,1,0.25675675675675674,3,0.42934021538386363,1,1,1,0.7929734289624658,0
0.302,0,0,1,0.527027027027027,10,0.0,2,1,1,0.23920089368534692,0
0.342,0,0,1,0.22972972972972974,6,0.38431476301792494,1,1,0,0.05238930317845354,0
1.0,0,1,1,0.16216216216216217,2,0.5621406284918311,1,1,1,0.02983594933316131,0
0.818,0,0,1,0.32432432432432434,4,0.4201713133806638,1,0,1,0.6070453728331054,0
0.332,0,1,1,0.43243243243243246,5,0.0,1,0,1,0.7307415358166705,1
0.722,0,0,0,0.2702702702702703,2,0.5142409015548902,2,1,1,0.07182325912124607,1
0.324,0,1,1,0.20270270270270271,3,0.7041369665269274,1,1,0,0.4733411540802146,0
0.4,0,0,1,0.25675675675675674,3,0.0,1,1,1,0.8983794452370201,0
0.516,0,1,0,0.3108108108108108,3,0.35777012092838173,1,0,0,0.9965609715727851,1
0.536,0,0,1,0.21621621621621623,5,0.5378858404223006,1,1,1,0.7597866096212189,0
0.586,0,0,1,0.36486486486486486,5,0.0,1,1,0,0.7125776511656863,1
0.642,0,0,1,0.36486486486486486,2,0.42398429577522895,1,0,1,0.7913407730438257,0
0.678,1,0,1,0.20270270270270271,2,0.6449416972444869,2,1,0,0.8469324820520359,0
0.506,0,0,1,0.17567567567567569,8,0.0,2,1,1,0.8495983366411491,0
0.54,0,0,0,0.3108108108108108,9,0.0,2,0,0,0.4442468755766175,0
0.652,0,0,0,0.21621621621621623,1,0.25147664535828074,1,1,1,0.20319055469797362,0
0.444,1,0,1,0.10810810810810811,4,0.47145440604988265,2,0,0,0.30210745126159544,0
0.636,1,0,1,0.3918918918918919,7,0.4258869009325659,1,0,1,0.7898126271058885,1
0.69,0,0,1,0.3783783783783784,7,0.19734127908267457,1,1,0,0.6650423115407521,0
0.76,0,1,0,0.20270270270270271,9,0.0,2,0,0,0.8829095178589554,0
0.914,0,0,1,0.33783783783783783,1,0.42168244485241,2,1,0,0.17439895510021206,1
0.484,0,0,1,0.4864864864864865,8,0.0,1,1,1,0.14364436803714753,1
0.752,0,0,0,0.17567567567567569,9,0.45724560916346557,2,1,1,0.49088182921469,0
0.328,0,1,1,0.16216216216216217,7,0.0,1,0,1,0.6250529925607895,0
0.434,0,0,1,0.32432432432432434,2,0.0,2,1,1,0.8399453647823366,0
1.0,0,0,1,0.20270270270270271,10,0.0,1,1,0,0.02425301616304357,1
0.642,1,0,1,0.36486486486486486,6,0.3968313190427237,1,1,1,0.5443563360300908,1
0.64,0,0,1,0.25675675675675674,4,0.6797895910646431,2,1,0,0.9913011692616644,0
0.688,0,0,0,0.16216216216216217,9,0.0,2,1,1,0.13475651924758814,0
0.394,1,0,0,0.28378378378378377,6,0.29731653198316493,3,1,1,0.4287156423438438,1
0.802,1,0,1,0.43243243243243246,2,0.3861663115889005,1,1,0,0.3860102139754346,1
0.488,1,0,0,0.14864864864864866,3,0.5214476523117414,1,1,0,0.305213897927252,0
0.646,0,0,1,0.7297297297297297,1,0.0,2,0,1,0.5599015205952168,0
0.52,0,0,1,0.2972972972972973,0,0.0,2,1,0,0.31113481337467724,0
0.324,0,0,0,0.25675675675675674,1,0.0,2,0,1,0.7805417917411113,0
0.834,1,0,1,0.02702702702702703,3,0.47714293082103576,2,0,1,0.7506906909609867,0
0.47,0,0,0,0.6621621621621622,5,0.45428392858630373,2,0,1,0.46571712598553155,0
0.826,1,0,1,0.32432432432432434,6,0.3992088979234557,1,1,0,0.1672727745499695,1
0.724,0,0,0,0.14864864864864866,2,0.0,1,1,1,0.7218860401168311,0
0.378,1,0,0,0.33783783783783783,3,0.463217954349513,3,1,0,0.27898854340589524,1
0.636,0,0,0,0.3783783783783784,2,0.0,3,1,0,0.4452269191707808,1
0.706,0,0,1,0.13513513513513514,2,0.32353307273084464,2,0,1,0.8140806447015689,0
0.624,0,1,1,0.2702702702702703,4,0.0,2,1,0,0.6813054146671007,0
0.75,1,0,0,0.28378378378378377,5,0.4655428026574455,1,1,0,0.6202661854207075,0
0.706,0,0,1,0.25675675675675674,8,0.4223295601811875,2,0,1,0.3707715086790788,0
0.618,1,0,1,0.6621621621621622,6,0.467965300174266,1,1,1,0.2253190679709912,1
0.346,0,1,1,0.21621621621621623,7,0.0,2,1,0,0.31012201665259026,0
0.57,0,0,0,0.2972972972972973,10,0.49222208108479426,1,1,0,0.6597712581551538,1
0.844,1,0,1,0.10810810810810811,7,0.6074199688008786,2,1,0,0.39705001827674535,0
0.39,0,0,0,0.10810810810810811,1,0.0,2,1,1,0.9982302309870592,0
0.568,1,0,1,0.08108108108108109,8,0.4109152445122241,1,1,1,0.7879037948124046,0
0.778,1,0,1,0.4864864864864865,8,0.5038625044933582,1,1,0,0.6721100365084866,1
0.842,1,0,0,0.24324324324324326,5,0.31027298772979894,1,0,0,0.4990197063819594,0
0.474,0,1,0,0.21621621621621623,1,0.0,2,1,1,0.48965226179100096,0
0.662,0,0,0,0.8243243243243243,0,0.0,2,0,1,0.8548686899598911,0
0.388,1,0,1,0.25675675675675674,2,0.31778603814799866,1,1,1,0.2877643314936576,0
0.692,0,1,1,0.13513513513513514,8,0.0,1,0,0,0.8835938332110717,0
0.832,0,1,1,0.3108108108108108,0,0.0,2,0,1,0.17137461627585432,0
0.754,0,0,1,0.21621621621621623,10,0.0,2,1,1,0.993223652858848,0
0.642,1,0,0,0.21621621621621623,6,0.14853309564851608,2,0,0,0.784602629551122,0
0.686,0,0,0,0.16216216216216217,6,0.5101364063791797,1,1,1,0.252252190084153,0
1.0,1,0,1,0.2702702702702703,3,0.21881796708775264,1,1,1,0.700386736933377,0
0.764,1,0,1,0.32432432432432434,9,0.43343526449324504,2,1,1,0.32658883923414683,0
0.752,0,1,0,0.40540540540540543,6,0.39819430271469985,1,1,0,0.32158901175062216,0
0.414,0,0,0,0.1891891891891892,6,0.7361012991370322,2,1,0,0.07473143685221938,0
0.664,0,0,0,0.10810810810810811,0,0.441031735235609,1,0,1,0.5593915718951159,0
0.776,0,1,1,0.17567567567567569,9,0.3149477941422352,1,1,1,0.09298212979339525,0
0.362,0,1,0,0.24324324324324326,9,0.395541113923984,1,1,0,0.6156859480080347,0
0.296,0,0,1,0.21621621621621623,2,0.0,2,1,1,0.7426542234783421,0
0.602,0,0,1,0.24324324324324326,7,0.0,2,1,0,0.06944028154688772,0
0.398,0,1,0,0.28378378378378377,7,0.0,1,0,0,0.4062771494677741,1
0.882,1,0,0,0.22972972972972974,7,0.20899401824860445,1,1,0,0.8052777540255094,0
0.6,0,1,1,0.3108108108108108,9,0.0,2,0,1,0.9580319420504658,0
0.766,1,0,1,0.21621621621621623,3,0.39991520062986535,3,1,0,0.24276123369781813,1
0.922,1,0,0,0.21621621621621623,1,0.5950511221508302,2,1,1,0.9317297801940084,0
0.714,0,0,1,0.16216216216216217,8,0.0,2,1,0,0.16575477958145002,0
0.724,1,0,1,0.13513513513513514,4,0.580336980644213,1,0,1,0.46940457813721204,0
0.712,0,1,0,0.25675675675675674,7,0.0,2,1,1,0.5544915539434015,0
0.812,0,0,1,0.5945945945945946,3,0.0,1,1,1,0.055942642522360884,1
0.854,0,0,0,0.47297297297297297,10,0.0,2,1,0,0.9499976747779413,0
0.592,0,0,1,0.22972972972972974,6,0.3349043430342575,1,0,1,0.8212989840529771,0
0.728,0,0,1,0.3783783783783784,1,0.0,1,1,0,0.760853711529451,1
0.864,0,0,1,0.28378378378378377,8,0.0,2,1,1,0.1697066569857421,0
0.85,0,1,1,0.14864864864864866,10,0.0,2,1,1,0.340694286304342,0
0.258,1,0,1,0.22972972972972974,4,0.5528895018690657,1,1,1,0.23622360935469333,1
0.914,0,0,1,0.32432432432432434,7,0.4714053821613389,1,1,1,0.1293830560818558,0
0.898,0,0,0,0.05405405405405406,8,0.6942499243417916,2,0,1,0.9632033359185802,0
0.65,0,0,1,0.2972972972972973,7,0.4512145150248055,2,1,0,0.1728454067363433,0
0.504,0,1,1,0.14864864864864866,5,0.4141413750897825,1,1,0,0.8061682890716063,0
0.25,0,0,0,0.1891891891891892,8,0.4743889441326556,1,1,0,0.5040716888462847,0
0.788,0,1,0,0.10810810810810811,5,0.6628105060504845,1,1,1,0.9085010618514068,0
0.476,0,1,1,0.21621621621621623,10,0.0,2,1,0,0.3953744082559884,0
0.706,1,0,1,0.32432432432432434,9,0.25200271552485715,1,0,1,0.6865892692752158,0
0.794,0,1,0,0.3108108108108108,5,0.376731325455686,2,1,0,0.9746694809354293,0
0.466,0,0,1,0.12162162162162163,7,0.0,2,1,0,0.25639403563040264,0
0.8,0,1,0,0.21621621621621623,9,0.44967365036537343,1,0,0,0.7520215680597496,1
0.662,0,0,1,0.2702702702702703,3,0.0,2,1,1,0.5624556145111858,0
0.846,0,0,1,0.0945945945945946,2,0.5416674554995615,1,1,0,0.36825916875061565,0
0.728,0,0,0,0.17567567567567569,4,0.4988848659629095,1,1,1,0.5331774684482368,0
0.674,0,1,0,0.35135135135135137,7,0.0,3,1,0,0.7792841216336159,1
0.322,0,0,1,0.5405405405405406,0,0.5943341776734928,1,1,1,0.813017293151496,0
0.554,0,0,1,0.20270270270270271,5,0.0,2,1,1,0.518680734010098,0
0.688,0,0,0,0.17567567567567569,10,0.0,2,1,0,0.8049703246660055,0
0.532,0,1,0,0.24324324324324326,6,0.5273524003311464,1,0,0,0.07726367868131406,0
0.674,0,0,1,0.22972972972972974,8,0.0,2,1,0,0.05161727945018749,0
0.724,0,0,0,0.20270270270270271,6,0.0,2,1,1,0.9534639558077797,0
0.406,0,0,1,0.20270270270270271,4,0.4706408486409761,1,0,0,0.4721894440919107,0
0.634,0,0,1,0.17567567567567569,1,0.4753590989871625,1,1,1,0.14124373877705318,0
0.762,0,0,1,0.33783783783783783,2,0.0,1,1,1,0.8501980439131938,1
